🤠雷蒙影视直播,#genre#
雷蒙影视直播,https://cors.isteed.cc/https://raw.githubusercontent.com/n3rddd/N3RD/master/JN/N3RD/W/CTVThemeSong1.mp4
CrimeTV LIVE,https://cors.isteed.cc/https://raw.githubusercontent.com/n3rddd/N3RD/master/JN/N3RD/W/CTVThemeSong2.mp4
更新日期,https://cors.isteed.cc/https://raw.githubusercontent.com/n3rddd/N3RD/master/JN/N3RD/W/CRIMETVPV1.mkv
2025-10-01,https://cors.isteed.cc/https://raw.githubusercontent.com/n3rddd/N3RD/master/JN/N3RD/W/CRIMETVPV2.mkv
🇨🇳央视,#genre#
CCTV1,http://106.53.99.30/tv/jzb.php?id=cctv1$雷蒙影视•IPV4『线路1』
CCTV1,http://8.138.7.223/tv/migu3.php?id=cctv1$雷蒙影视•IPV4『线路2』
CCTV1,http://106.53.99.30/公众号【榴芒电视】/proxy/bjyd.php?id=1$雷蒙影视•IPV4『线路3』
CCTV1,http://39.134.67.108/PLTV/88888888/224/3221225816/1.m3u8$雷蒙影视•IPV4『线路4』
CCTV1,http://39.134.67.108/PLTV/88888888/224/3221226119/1.m3u8$雷蒙影视•IPV4『线路5』
CCTV1,http://60.29.124.66:6080/hls/12/index.m3u8$雷蒙影视•IPV4『线路6』
CCTV1,http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221226016/.m3u8$雷蒙影视•IPV4『线路7』
CCTV1,http://39.134.64.87:6610/PLTV/88888888/224/3221226016/index.m3u8?IASHttpSessionId=$雷蒙影视•IPV4『线路8』
CCTV1,http://39.134.64.87:6610/PLTV/88888888/224/3221226559/index.m3u8?IASHttpSessionId=$雷蒙影视•IPV4『线路9』
CCTV1,http://112.6.197.24:9921/hls/1/index.m3u8$雷蒙影视•IPV4『线路10』
CCTV1,http://123.182.60.29:9002/hls/1/index.m3u8$雷蒙影视•IPV4『线路11』
CCTV1,http://116.9.204.242:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$雷蒙影视•IPV4『线路12』
CCTV1,http://183.11.239.36:808/hls/19/index.m3u8$雷蒙影视•IPV4『线路13』
CCTV1,http://58.17.48.228:808/hls/1/index.m3u8$雷蒙影视•IPV4『线路14』
CCTV1,http://110.53.52.63:8888/newlive/live/hls/2/live.m3u8$雷蒙影视•IPV4『线路15』
CCTV1,http://111.160.17.2:59901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$雷蒙影视•IPV4『线路16』
CCTV1,http://124.128.73.58:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$雷蒙影视•IPV4『线路17』
CCTV1,http://222.134.245.16:9901/tsfile/live/0001_1.m3u8$雷蒙影视•IPV4『线路18』
CCTV1,http://183.255.10.72:6610/200000001898/460000089800010011/1.m3u8?IASHttpSessionId=ACE$雷蒙影视•IPV4『线路19』
CCTV1,http://183.255.10.72:6610/200000001898/460000089800010144/1.m3u8?IASHttpSessionId=ACE$雷蒙影视•IPV4『线路20』
CCTV1,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_CCTV-1/G_CCTV-1.m3u8$雷蒙影视•IPV4『线路21』
CCTV1,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_CCTV-1-HQ/G_CCTV-1-HQ.m3u8$雷蒙影视•IPV4『线路22』
CCTV1,http://183.155.254.220:9999/rtp/233.50.201.118:5140$雷蒙影视•IPV4『线路23』
CCTV1,http://115.230.188.101:9999/rtp/233.50.201.118:5140$雷蒙影视•IPV4『线路24』
CCTV1,http://115.220.243.30:9999/rtp/233.50.201.118:5140$雷蒙影视•IPV4『线路25』
CCTV1,http:///rtp/239.254.96.96:8550$雷蒙影视•IPV4『线路26』
CCTV1,http://e2.woc.iiiya.cn:8888/rtp/239.61.3.60:9878$雷蒙影视•IPV4『线路27』
CCTV1,http://60.164.229.62:4040/udp/239.255.30.101:8231$雷蒙影视•IPV4『线路28』
