🤠雷蒙影视直播,#genre#
雷蒙影视直播,https://cors.isteed.cc/https://raw.githubusercontent.com/n3rddd/N3RD/master/JN/N3RD/W/CTVThemeSong1.mp4
CrimeTV LIVE,https://cors.isteed.cc/https://raw.githubusercontent.com/n3rddd/N3RD/master/JN/N3RD/W/CTVThemeSong2.mp4
更新日期,https://cors.isteed.cc/https://raw.githubusercontent.com/n3rddd/N3RD/master/JN/N3RD/W/CRIMETVPV1.mkv
2025-06-22,https://cors.isteed.cc/https://raw.githubusercontent.com/n3rddd/N3RD/master/JN/N3RD/W/CRIMETVPV2.mkv
🇨🇳央视,#genre#
CCTV1,http://8.138.7.223/tv/ptbtv.php?id=27$雷蒙影视•IPV4『线路1』
CCTV1,http://8.138.7.223/tv/cctv7.m3u8$雷蒙影视•IPV4『线路2』
CCTV1,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV1$雷蒙影视•IPV4『线路3』
CCTV1,http://119.123.176.146:8086/hls/2/index.m3u8$雷蒙影视•IPV4『线路4』
CCTV1,http://171.15.18.199:8180/TV00000000000000000001@HHZT$雷蒙影视•IPV4『线路5』
CCTV1,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226737/1.m3u8$雷蒙影视•IPV4『线路6』
CCTV1,http://n1.gzbody.com:85/rtp/239.77.0.86:5146$雷蒙影视•IPV4『线路7』
CCTV1,http://n1.gzbody.com:85/rtp/239.77.0.14:5146$雷蒙影视•IPV4『线路8』
CCTV1,http://n1.gzbody.com:85/rtp/239.77.0.119:5146$雷蒙影视•IPV4『线路9』
CCTV1,http://n1.gzbody.com:85/rtp/239.77.0.129:5146$雷蒙影视•IPV4『线路10』
CCTV1,http://n1.gzbody.com:85/rtp/239.77.1.17:5146$雷蒙影视•IPV4『线路11』
CCTV1,http://n1.gzbody.com:85/rtp/239.77.1.144:5146$雷蒙影视•IPV4『线路12』
CCTV1,http://n1.gzbody.com:85/rtp/239.77.1.76:5146$雷蒙影视•IPV4『线路13』
CCTV1,http://n1.gzbody.com:85/rtp/239.77.0.30:5146$雷蒙影视•IPV4『线路14』
CCTV1,http://8.138.7.223/tv/migu2.php?id=1$雷蒙影视•IPV4『线路15』
CCTV1,http://8.138.7.223/tv/migu.php?id=cctv1$雷蒙影视•IPV4『线路16』
CCTV1,http://8.138.7.223/tv/migu3.php?id=cctv1$雷蒙影视•IPV4『线路17』
CCTV1,http://bailudz.top:1236/111/hahahaha.php?id=cctv1$雷蒙影视•IPV4『线路18』
CCTV1,http://39.134.64.87:6610/PLTV/88888888/224/3221226016/index.m3u8?IASHttpSessionId=$雷蒙影视•IPV4『线路19』
CCTV1,http://39.134.64.87:6610/PLTV/88888888/224/3221226559/index.m3u8?IASHttpSessionId=$雷蒙影视•IPV4『线路20』
CCTV1,http://60.29.124.66:6080/hls/12/index.m3u8$雷蒙影视•IPV4『线路21』
CCTV1,http://106.53.99.30/公众号【榴芒电视】/proxy/bjyd.php?id=1$雷蒙影视•IPV4『线路22』
CCTV1,http://39.134.67.108/PLTV/88888888/224/3221225816/1.m3u8$雷蒙影视•IPV4『线路23』
CCTV1,http://39.134.67.108/PLTV/88888888/224/3221226119/1.m3u8$雷蒙影视•IPV4『线路24』
CCTV1,http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221226016/.m3u8$雷蒙影视•IPV4『线路25』
CCTV1,http://112.6.197.24:9921/hls/1/index.m3u8$雷蒙影视•IPV4『线路26』
CCTV1,http://123.182.60.29:9002/hls/1/index.m3u8$雷蒙影视•IPV4『线路27』
CCTV1,http://116.9.204.242:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$雷蒙影视•IPV4『线路28』
CCTV1,http://183.11.239.36:808/hls/19/index.m3u8$雷蒙影视•IPV4『线路29』
CCTV1,http://8.138.7.223/tv/iptv.php?id=1$雷蒙影视•IPV4『线路30』
CCTV1,http://58.17.48.228:808/hls/1/index.m3u8$雷蒙影视•IPV4『线路31』
